Research Area,Title,Summary,Tags,Display Venue
Training Dynamics,"Position: Don't Just ""Fix it in Post'': A Science of AI Must Study Learning Dynamics",Training dynamics framing for a science of AI systems.,Other Research / Field-Building; Training Dynamics framing,ICML Oral
Training Dynamics,Deep Ignorance: Filtering Pretraining Data Builds Tamper-Resistant Safeguards into Open-Weight LLMs,Data filtering as a safety intervention before model behavior is fixed in post-training.,Safety Interventions; Data; Fine-Tuning Dynamics,
Training Dynamics,PolyPythias: Stability and Outliers across Fifty Language Model Pre-Training Runs,Repeated language model pretraining runs for studying stability and outliers.,Research Infrastructure; Stability Across Runs; Mechanisms Over Training,
Training Dynamics,Mitigating Emergent Misalignment with Data Attribution,Data attribution as a route to understanding and intervening on misalignment during adaptation.,Safety Interventions; Data; Fine-Tuning Dynamics,Preprint
Training Dynamics,"Recite, Reconstruct, Recollect: Memorization in LMs as a Multifaceted Phenomenon",Memorization as a set of related but distinct behaviors over training.,Mechanisms Over Training; Data,
Training Dynamics,Examining Two Hop Reasoning Through Information Content Scaling,Reasoning behavior studied through scaling and information content.,Mechanisms Over Training; Research Infrastructure,
Training Dynamics,Slowing Learning by Erasing Simple Features,Data and feature interventions that change the speed and path of learning.,Mechanisms Over Training; Data,
Training Dynamics,Benchmark Disaggregation Improves Interpretability of Training Dynamics,Benchmark views that make aggregate evaluation results easier to interpret over training.,Research Infrastructure; Mechanisms Over Training,Workshop
Training Dynamics,Why Has Predicting Downstream Capabilities of Frontier AI Models with Scale Remained Elusive?,Forecasting model behaviors from scale and evaluation signals.,Predicting Model Behaviors; Research Infrastructure; Mechanisms Over Training,
Training Dynamics,On the Acquisition of Shared Grammatical Representations in Bilingual Language Models,How shared linguistic representations emerge across training.,Mechanisms Over Training; Data,
Training Dynamics,OpenFold: Retraining AlphaFold2 yields new insights into its learning mechanisms and capacity for generalization,Retraining as a way to understand learning mechanisms and generalization.,Mechanisms Over Training; Research Infrastructure,
Training Dynamics,LLM Circuit Analyses Are Consistent Across Training and Scale,Circuit analysis across model checkpoints and scales.,Mechanisms Over Training; Research Infrastructure,
Training Dynamics,Attributing Mode Collapse in the fine-tuning of Large Language Models,Analysis of how fine-tuning can change or collapse model behavior.,Fine-Tuning Dynamics,Workshop
Training Dynamics,Emergent and Predictable Memorization in Large Language Models,Research on how memorization develops and can be measured during training.,Predicting Model Behaviors; Data; Mechanisms Over Training,
Training Dynamics,Pythia: A Suite for Analyzing Large Language Models Across Training and Scaling,A model suite for studying training trajectories across scales and checkpoints.,Research Infrastructure; Mechanisms Over Training,
Training Dynamics,The Goldilocks of Pragmatic Understanding: Fine-Tuning Strategy Matters for Implicature Resolution by LLMs,Fine-tuning strategy and pragmatic understanding in language models.,Fine-Tuning Dynamics; Mechanisms Over Training,
